tradeItemId,tradeItemName
6ca414bb-0338-4d4b-878d-3c95e9c453b3,Alstroemeria Lovely 60cm
4b6f729c-c087-499a-adc9-87df48b86817,Sliver Shadow 50
b25d9181-a12b-46a2-815f-0326ef501c08,Rosa large flowered Pegasso 60cm
3ae63b65-2f73-44cb-b928-37fe13aa9236,Lepidium Green Dragon L60
8c9e95c2-14ef-4ba2-9593-45843afb0f0a,Rosa spray Alicia 60cm
5b240504-9f48-4eca-b8ea-823521f9a3ea,Rosa spray Wedding Party
7d0656b0-17ec-456a-8051-85f06392c3a5,Rosa spray Dominica 50cm
0c644a1e-e47c-4202-92c5-93ebe41042b2,Rosa Furiosa 40cm
f81ecf12-1e94-49f2-8a63-468dc781f646,Rosa spray Julietta 80cm
e6c76021-3ca3-4ee1-9774-28f52a18fb15,Rosa large flowered Wham 50cm
7d3415c7-0611-4a22-bc67-f463f1312006,Bandolero - Length 70
3863f3a3-8039-49a3-8942-cad9f4d9eac4,Classic Sensation 60
673d7aad-3ff2-4d2b-8040-5bfe6adad3f9,Madam Bombastic 50
da8ca7d1-0032-42e5-9ec1-2ed32b09c1d3,Alstroemeria Beluga 70cm
da95a42e-7a17-40c8-9e83-787b62babbf3,Rosa Nightingale 60cm
2ceaf3eb-3191-4094-b012-c6b58ddea81b,Rosa large flowered Madam Cerise 60cm
513ffa25-4319-4c1f-a106-729d6ad8a72a,Rosa large flowered mixed- Length 50
3d5b3b4d-f7a0-440f-b481-bba3de95a2c9,Alstroemeria Lady Marmalade 70cm
3cdac398-b38c-4e49-819e-0b3a29dda2d1,Rosa spray Lyrica 70cm
061fccf3-1dbe-4bc6-98f0-5f31c3205ad7,Femke 60cm
d49a3ab3-8fad-4de9-a43b-dafc9f75bfb5,Classic Sensation - Length 70
ad6cec92-e98c-4686-ad42-61be20ebc281,Azore 50
bc566f0f-ab2a-435d-bb69-c97fae9b9d44,Ivory Flow - Length 70
99e28bd7-1cd5-4d84-a2b1-60efaa4c91e5,Dinara 50
894e2730-a5e9-4b3f-85bc-9c798bea1265,Rosa spray Lyrica 50cm
